RGIId,REGION,O2Region,CenLon,CenLat,Area,WGMS_ID,N_gla_anom_used,ID_gla_anom_used,min_dist_gla_anom,max_dist_gla_anom,mean_dist_gla_anom,period_reg_obs,N_gla_anom_neighbour_reg,ID_gla_anom_neighbour_reg,period_neighbour_reg_obs,N_geo_obs,period_geo_obs
RGI60-17.00029,SAN,2,-70.164,-34.5553,0.177,27151.0,1.0,[1344],108.9,108.9,108.9,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00030,SAN,2,-70.1748,-34.5643,0.043,35629.0,1.0,[1344],109.9,109.9,109.9,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00031,SAN,2,-70.1837,-34.5701,0.069,35630.0,1.0,[1344],110.6,110.6,110.6,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00032,SAN,2,-70.1829,-34.5988,9.679,27152.0,1.0,[1344],113.8,113.8,113.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00033,SAN,2,-70.1711,-34.5776,0.019,35631.0,1.0,[1344],111.4,111.4,111.4,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00034,SAN,2,-70.1728,-34.5788,0.026,35632.0,1.0,[1344],111.5,111.5,111.5,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00035,SAN,2,-70.1893,-34.5824,0.014,35633.0,1.0,[1344],112.0,112.0,112.0,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00036,SAN,2,-70.1974,-34.5841,0.012,35634.0,1.0,[1344],112.2,112.2,112.2,1976-2023,N/A,N/A,N/A,1.0,['2000.17 - 2018.25']
RGI60-17.00037,SAN,2,-69.929,-34.5242,0.01,35635.0,1.0,[1344],107.0,107.0,107.0,1976-2023,N/A,N/A,N/A,1.0,['2000.17 - 2018.25']
RGI60-17.00038,SAN,2,-70.0137,-34.6127,0.059,35636.0,1.0,[1344],115.7,115.7,115.7,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00039,SAN,2,-70.018,-34.6164,0.204,27153.0,1.0,[1344],116.1,116.1,116.1,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00040,SAN,2,-69.8784,-34.5226,0.054,35637.0,1.0,[1344],107.8,107.8,107.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00041,SAN,2,-69.8727,-34.5241,0.158,27154.0,1.0,[1344],108.0,108.0,108.0,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00042,SAN,2,-69.8665,-34.5232,0.023,27155.0,1.0,[1344],108.1,108.1,108.1,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00043,SAN,2,-69.8904,-34.5298,0.011,35638.0,1.0,[1344],108.3,108.3,108.3,1976-2023,N/A,N/A,N/A,1.0,['2000.17 - 2018.25']
RGI60-17.00044,SAN,2,-69.8846,-34.5314,0.272,27156.0,1.0,[1344],108.6,108.6,108.6,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00045,SAN,2,-69.8894,-34.5359,0.053,27157.0,1.0,[1344],109.0,109.0,109.0,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00046,SAN,2,-69.898,-34.5405,0.029,35639.0,1.0,[1344],109.3,109.3,109.3,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00047,SAN,2,-69.9062,-34.5458,0.019,35640.0,1.0,[1344],109.8,109.8,109.8,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00048,SAN,2,-69.9055,-34.5484,0.013,35641.0,1.0,[1344],110.1,110.1,110.1,1976-2023,N/A,N/A,N/A,1.0,['2000.17 - 2018.25']
RGI60-17.00049,SAN,2,-69.9026,-34.5519,0.285,27158.0,1.0,[1344],110.5,110.5,110.5,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00050,SAN,2,-69.8895,-34.5496,0.011,35642.0,1.0,[1344],110.5,110.5,110.5,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00051,SAN,2,-70.2826,-34.6345,0.054,35643.0,1.0,[1344],118.5,118.5,118.5,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00052,SAN,2,-70.401,-34.7065,0.023,35644.0,1.0,[1344],128.1,128.1,128.1,1976-2023,N/A,N/A,N/A,1.0,['2000.17 - 2018.25']
RGI60-17.00053,SAN,2,-70.3963,-34.7092,0.059,35645.0,1.0,[1344],128.3,128.3,128.3,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00054,SAN,2,-70.1724,-34.6472,0.374,27159.0,1.0,[1344],119.1,119.1,119.1,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00055,SAN,2,-70.2055,-34.6624,0.613,27160.0,1.0,[1344],120.9,120.9,120.9,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00056,SAN,2,-70.2214,-34.6652,0.023,35646.0,1.0,[1344],121.3,121.3,121.3,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00057,SAN,2,-70.2264,-34.6669,0.016,35647.0,1.0,[1344],121.6,121.6,121.6,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00058,SAN,2,-70.2111,-34.6736,0.067,35648.0,1.0,[1344],122.2,122.2,122.2,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00059,SAN,2,-70.2073,-34.6733,0.03,35649.0,1.0,[1344],122.2,122.2,122.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00060,SAN,2,-70.0313,-34.6224,0.077,35650.0,1.0,[1344],116.7,116.7,116.7,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00061,SAN,2,-69.9578,-34.626,0.036,35651.0,1.0,[1344],117.8,117.8,117.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00062,SAN,2,-69.9941,-34.626,0.087,35652.0,1.0,[1344],117.4,117.4,117.4,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00063,SAN,2,-69.9986,-34.6291,0.046,27161.0,1.0,[1344],117.7,117.7,117.7,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00064,SAN,2,-70.0325,-34.6654,0.041,35653.0,1.0,[1344],121.4,121.4,121.4,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00065,SAN,2,-70.2855,-34.8758,0.102,27162.0,1.0,[1344],145.2,145.2,145.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00066,SAN,2,-70.3016,-34.9107,0.142,35654.0,1.0,[1344],149.2,149.2,149.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00067,SAN,2,-70.3065,-34.9191,0.159,27163.0,1.0,[1344],150.1,150.1,150.1,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00068,SAN,2,-70.3095,-34.929,1.456,27164.0,1.0,[1344],151.3,151.3,151.3,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00069,SAN,2,-70.3191,-34.9389,0.884,27165.0,1.0,[1344],152.5,152.5,152.5,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00070,SAN,2,-70.3224,-34.945,0.594,27166.0,1.0,[1344],153.2,153.2,153.2,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00071,SAN,2,-70.3369,-34.9449,0.407,27167.0,1.0,[1344],153.3,153.3,153.3,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00072,SAN,2,-70.258,-34.9441,0.034,27168.0,1.0,[1344],152.5,152.5,152.5,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00073,SAN,2,-70.3294,-34.9484,0.059,35655.0,1.0,[1344],153.6,153.6,153.6,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00074,SAN,2,-70.3253,-34.9679,0.853,27169.0,1.0,[1344],155.7,155.7,155.7,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00075,SAN,2,-70.3366,-34.9709,0.193,27170.0,1.0,[1344],156.2,156.2,156.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00076,SAN,2,-70.3202,-34.9773,0.067,27171.0,1.0,[1344],156.7,156.7,156.7,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00077,SAN,2,-70.3077,-34.9779,0.019,35656.0,1.0,[1344],156.7,156.7,156.7,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00078,SAN,2,-70.3385,-34.979,0.174,35657.0,1.0,[1344],157.1,157.1,157.1,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00079,SAN,2,-70.3139,-34.979,0.028,35658.0,1.0,[1344],156.8,156.8,156.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00080,SAN,2,-70.3269,-34.9967,8.805,27172.0,1.0,[1344],158.9,158.9,158.9,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00081,SAN,2,-70.3602,-35.0135,0.706,35659.0,1.0,[1344],161.2,161.2,161.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00082,SAN,2,-70.3182,-35.0129,0.229,35660.0,1.0,[1344],160.6,160.6,160.6,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00083,SAN,2,-70.3545,-35.0252,0.083,35661.0,1.0,[1344],162.4,162.4,162.4,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00084,SAN,2,-70.3462,-35.0363,0.068,27173.0,1.0,[1344],163.5,163.5,163.5,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00085,SAN,2,-70.3555,-35.0376,0.195,35662.0,1.0,[1344],163.8,163.8,163.8,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00457,SAN,2,-70.5601,-35.3014,0.037,35868.0,1.0,[1344],195.8,195.8,195.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00458,SAN,2,-70.5552,-35.2869,0.013,35869.0,1.0,[1344],194.1,194.1,194.1,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00459,SAN,2,-70.5939,-35.2901,0.867,27277.0,1.0,[1344],195.2,195.2,195.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00460,SAN,2,-70.5539,-35.2842,0.039,35870.0,1.0,[1344],193.8,193.8,193.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00461,SAN,2,-70.553,-35.2801,0.047,35871.0,1.0,[1344],193.3,193.3,193.3,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00462,SAN,2,-70.5975,-35.2751,0.032,35872.0,1.0,[1344],193.6,193.6,193.6,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00463,SAN,2,-70.5796,-35.2705,0.013,35873.0,1.0,[1344],192.8,192.8,192.8,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00464,SAN,2,-70.5844,-35.2672,0.109,27278.0,1.0,[1344],192.5,192.5,192.5,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00465,SAN,2,-70.7231,-35.2531,0.097,35874.0,1.0,[1344],194.2,194.2,194.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00466,SAN,2,-70.576,-35.275,13.681,27279.0,1.0,[1344],193.2,193.2,193.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00467,SAN,2,-70.5603,-35.2435,0.063,27280.0,1.0,[1344],189.5,189.5,189.5,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00468,SAN,2,-70.5611,-35.2383,0.178,27281.0,1.0,[1344],188.9,188.9,188.9,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00469,SAN,2,-70.5698,-35.236,0.334,27282.0,1.0,[1344],188.8,188.8,188.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
