RGIId,REGION,O2Region,CenLon,CenLat,Area,WGMS_ID,N_gla_anom_used,ID_gla_anom_used,min_dist_gla_anom,max_dist_gla_anom,mean_dist_gla_anom,period_reg_obs,N_gla_anom_neighbour_reg,ID_gla_anom_neighbour_reg,period_neighbour_reg_obs,N_geo_obs,period_geo_obs
RGI60-17.04285,SAN,1,-73.0905,-52.4901,0.378,28780.0,1.0,[2000],400.4,400.4,400.4,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04286,SAN,1,-73.2925,-52.4909,0.145,28781.0,1.0,[2000],410.7,410.7,410.7,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04287,SAN,1,-73.431,-52.4921,0.153,28782.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04288,SAN,1,-73.0978,-52.4889,0.093,28783.0,1.0,[2000],400.9,400.9,400.9,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04289,SAN,1,-73.3307,-52.4897,0.037,70568.0,1.0,[2000],412.8,412.8,412.8,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04290,SAN,1,-73.2116,-52.494,1.564,70569.0,1.0,[2000],406.3,406.3,406.3,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04291,SAN,1,-73.2056,-52.4864,0.028,37126.0,1.0,[2000],406.6,406.6,406.6,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04292,SAN,1,-73.4099,-52.5081,0.94,28784.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04293,SAN,1,-73.305,-52.4885,0.371,28785.0,1.0,[2000],411.6,411.6,411.6,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04294,SAN,1,-72.707,-52.4752,0.019,28786.0,1.0,[2000],382.4,382.4,382.4,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04295,SAN,1,-73.2969,-52.4859,0.124,37127.0,1.0,[2000],411.3,411.3,411.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04296,SAN,1,-73.3322,-52.4857,0.067,70570.0,1.0,[2000],413.2,413.2,413.2,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04297,SAN,1,-73.0342,-52.4797,0.042,28787.0,1.0,[2000],398.4,398.4,398.4,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04298,SAN,1,-73.2289,-52.4871,0.305,28788.0,1.0,[2000],407.7,407.7,407.7,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04299,SAN,1,-73.09,-52.482,0.267,28789.0,1.0,[2000],401.0,401.0,401.0,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04300,SAN,1,-73.0972,-52.4794,0.033,37128.0,1.0,[2000],401.6,401.6,401.6,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04301,SAN,1,-73.0885,-52.4782,0.041,37129.0,1.0,[2000],401.2,401.2,401.2,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04302,SAN,1,-73.3132,-52.4814,0.012,37130.0,1.0,[2000],412.5,412.5,412.5,2001-2023,1.0,['1344'],1976-2001,1.0,['2000.17 - 2018.25']
RGI60-17.04303,SAN,1,-73.0378,-52.4765,0.036,37131.0,1.0,[2000],398.8,398.8,398.8,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04304,SAN,1,-72.7816,-52.4986,4.706,28790.0,1.0,[2000],384.3,384.3,384.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04305,SAN,1,-73.2221,-52.4864,0.299,28791.0,1.0,[2000],407.4,407.4,407.4,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04306,SAN,1,-73.3048,-52.4828,0.445,37132.0,1.0,[2000],412.0,412.0,412.0,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04307,SAN,1,-73.0468,-52.4766,0.13,37133.0,1.0,[2000],399.2,399.2,399.2,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04308,SAN,1,-72.7062,-52.4721,0.422,28792.0,1.0,[2000],382.6,382.6,382.6,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04309,SAN,1,-72.732,-52.4833,4.564,28793.0,1.0,[2000],383.0,383.0,383.0,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04310,SAN,1,-72.696,-52.4692,0.354,28794.0,1.0,[2000],382.3,382.3,382.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
